"","SurveyResponseID","Qdemosage","Qdemoshispanic","Qdemosrace","Qdemoseducation","Qdemosincome","Qdemosgender","Qsexualorientation","Qdemosstate","Qamazonusehowmany","Qamazonusehhsize","Qamazonusehowoft","Qsubstanceusecigarettes","Qsubstanceusemarijuana","Qsubstanceusealcohol","Qpersonaldiabetes","Qpersonalwheelchair","Qlifechanges","QsellYOURdata","Qsellconsumerdata","Qsmallbizuse","Qcensususe","Qresearchsociety","ShippingAddressState","TOTAL_EXCERCISE_SPENT","MORE_THAN_AVERAGE","HAS_PURCHASED_MOTHERBOARD","HAS_PURCHASED_GOLF_BAG","HAS_PURCHASED_TOYS_AND_GAMES","HAS_PURCHASED_SUGAR_CANDY","HAS_PURCHASED_SKATEBOARD","HAS_PURCHASED_GAMES","HAS_PURCHASED_AMAZON_BOOK_READER","HAS_PURCHASED_WEARABLE_COMPUTER","HAS_PURCHASED_PET_SUPPLIES","HAS_PURCHASED_SPORTING_GOODS","HAS_PURCHASED_ABIS_BOOK","HAS_PURCHASED_HEADPHONES","HAS_PURCHASED_PHYSICAL_VIDEO_GAME_SOFTWARE","HAS_PURCHASED_SNACK_CHIP_AND_CRISP","HAS_PURCHASED_DOWNLOADABLE_VIDEO_GAME","HAS_PURCHASED_OUTDOOR_LIVING","HAS_PURCHASED_COOKIE","HAS_PURCHASED_MEAT","HAS_PURCHASED_SWIMWEAR","HAS_PURCHASED_FOOD_STORAGE_CONTAINER","HAS_PURCHASED_MASSAGER","HAS_PURCHASED_WEIGH_SCALE","HAS_PURCHASED_SPEAKERS","HAS_PURCHASED_PLANNER","HAS_PURCHASED_INSTRUMENT_PARTS_AND_ACCESSORIES","HAS_PURCHASED_MEDICATION","HAS_PURCHASED_VEGETABLE","HAS_PURCHASED_VITAMIN","HAS_PURCHASED_PET_FOOD","HAS_PURCHASED_SKIN_MOISTURIZER","HAS_PURCHASED_COFFEE","HAS_PURCHASED_PHYSICAL_MOVIE","HAS_PURCHASED_NUTRITIONAL_SUPPLEMENT","HAS_PURCHASED_SKIN_CLEANING_AGENT","HAS_PURCHASED_HERBAL_SUPPLEMENT","HAS_PURCHASED_MINERAL_SUPPLEMENT","HAS_PURCHASED_PROTEIN_DRINK","HAS_PURCHASED_PROTEIN_SUPPLEMENT_POWDER","HAS_PURCHASED_DIETARY_SUPPLEMENTS","HAS_PURCHASED_ABIS_SPORTS","HAS_PURCHASED_HEALTH_FOOD","HAS_PURCHASED_SPORTS_DRINK"
"820","R_1Nnv2IYQFpUwHrr","25 - 34 years","No","Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999","Female","heterosexual (straight)","New York","2","3","5 - 10 times per month","No","No","No","No","No","","No","No","Yes","I don't know","Yes","NY",0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0
"821","R_3ir5gbFGrLCGWWK","25 - 34 years","No","White or Caucasian","Bachelor's degree","$75,000 - $99,999","Male","LGBTQ+","California","1 (just me!)","1 (just me!)","Less than 5 times per month","Yes","Yes","Yes","No","No","Moved place of residence","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","Yes","CA",0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0
"822","R_2TKO641FpWMebOd","25 - 34 years","No","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Male","heterosexual (straight)","New York","1 (just me!)","1 (just me!)","More than 10 times per month","Yes","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","I don't know","NY",16,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0
"823","R_27EkAmfedK6OHpp","45 - 54 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999","Female","LGBTQ+","Maine","2","2","More than 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","Yes","ME",81.47,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0
"824","R_3rUnUmjbfgYFmMs","25 - 34 years","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Female","heterosexual (straight)","Connecticut","1 (just me!)","1 (just me!)","Less than 5 times per month","No","No","Yes","No","No","Became pregnant,Had a child","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","I don't know","CT",31.38,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
"825","R_2Uc0eY0mHq5DQgt","35 - 44 years","Yes","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","Less than $25,000","Male","heterosexual (straight)","California","1 (just me!)","2","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","No","I don't know","I don't know","Yes","CA",9.58,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0
"826","R_2tK9xIUteAzFb42","18 - 24 years","No","White or Caucasian","High school diploma or GED","$100,000 - $149,999","Male","LGBTQ+","New York","1 (just me!)","3","More than 10 times per month","No","No","Yes","No","No","","Yes","Yes if consumers get part of the profit","Yes","Yes","Yes","NY",18.5,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"827","R_1GVsIStj8gTkbIE","25 - 34 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Male","heterosexual (straight)","Minnesota","4+","1 (just me!)","Less than 5 times per month","No","No","No","No","No","Moved place of residence,Had a child","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","No","No","MN",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0
"828","R_2TEGPne2Cu1LmmT","45 - 54 years","No","White or Caucasian,Asian","Bachelor's degree","$150,000 or more","Male","heterosexual (straight)","Indiana","2","3","5 - 10 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","I don't know","Yes","IN",33.23,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0
"829","R_3Jx8193TYiav93D","35 - 44 years","No","White or Caucasian","Bachelor's degree","$75,000 - $99,999","Female","heterosexual (straight)","Maine","1 (just me!)","3","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","I don't know","ME",39.99,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0
"830","R_26njjH2ZOq7qmD9","35 - 44 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999","Female","heterosexual (straight)","Texas","1 (just me!)","4+","Less than 5 times per month","No","No","No","No","No","Moved place of residence,Had a child","No","No","No","I don't know","I don't know","TX",88.34,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0
"831","R_1gq1l7L7YXNcp13","18 - 24 years","No","White or Caucasian","High school diploma or GED","$150,000 or more","Female","LGBTQ+","Wisconsin","4+","4+","More than 10 times per month","No","Yes","Yes","No","No","","No","No","No","No","Yes","OH",5.99,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
"832","R_3EsdYJiok38Qvto","25 - 34 years","No","Asian","Bachelor's degree","$75,000 - $99,999","Male","heterosexual (straight)","Michigan","1 (just me!)","2","Less than 5 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","Yes","Yes","MI",312.46,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
"833","R_yz2aRsh8GutbOiB","18 - 24 years","No","White or Caucasian,Black or African American","High school diploma or GED","$50,000 - $74,999","Female","heterosexual (straight)","Georgia","1 (just me!)","3","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","No","Yes","GA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
"834","R_URRtiKcS7CPrnwd","25 - 34 years","No","White or Caucasian","Bachelor's degree","$25,000 - $49,999","Male","heterosexual (straight)","New York","1 (just me!)","3","Less than 5 times per month","No","No","Prefer not to say","No","No","Lost a job ","No","Yes if consumers get part of the profit","Yes","I don't know","Yes","NY",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0
"835","R_xf3ov6V1rPcu4Ip","18 - 24 years","Yes","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Female","LGBTQ+","California","2","3","Less than 5 times per month","Yes","Yes","Yes","No","No","Lost a job ,Moved place of residence","Yes if I get part of the profit","No","No","No","I don't know","CA",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
"836","R_3dSAHDjg4jGTvcu","55 - 64 years","No","Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","Prefer not to say","Female","heterosexual (straight)","California","3","4+","More than 10 times per month","No","No","No","No","No","","No","No","No","I don't know","No","CA",141.39,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
"837","R_1NFde2vzLpu8IWT","25 - 34 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999","Female","heterosexual (straight)","Delaware","1 (just me!)","1 (just me!)","5 - 10 times per month","No","No","Yes","No","No","Lost a job ","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","Yes","Yes","DE",26.83,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0
"838","R_3G7BILj5lidHb8M","35 - 44 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Male","heterosexual (straight)","Oregon","2","4+","5 - 10 times per month","No","No","I stopped in the recent past","No","No","Had a child","No","No","No","No","No","OR",54.95,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0
"839","R_3njfgXBlhquM0QT","25 - 34 years","Yes","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Female","heterosexual (straight)","Colorado","1 (just me!)","1 (just me!)","Less than 5 times per month","No","No","No","No","No","Lost a job ","Yes if I get part of the profit","No","Yes","Yes","Yes","CO",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
"840","R_2fs9tvXgHNz8rMA","18 - 24 years","Yes","White or Caucasian","High school diploma or GED","Less than $25,000","Female","LGBTQ+","Florida","1 (just me!)","4+","Less than 5 times per month","No","Yes","No","No","No","Moved place of residence","Yes if I get part of the profit","I don't know","I don't know","I don't know","I don't know","FL",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
"841","R_1H7fdZFFkwr8HKx","25 - 34 years","No","White or Caucasian","Bachelor's degree","$25,000 - $49,999","Female","LGBTQ+","South Carolina","1 (just me!)","3","Less than 5 times per month","No","No","No","No","No","","I don't know","Yes if consumers get part of the profit","I don't know","I don't know","I don't know","SC",18.97,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
"842","R_3PUi8o2if0JqKfl","45 - 54 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more","Female","heterosexual (straight)","Massachusetts","2","3","5 - 10 times per month","Yes","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","Yes","MA",86.79,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0
"843","R_2qxZ0v6uaLBRkV7","35 - 44 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Female","heterosexual (straight)","Illinois","3","3","More than 10 times per month","No","Yes","Yes","No","No","","Yes","I don't know","Yes","Yes","Yes","IL",156.08,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
"844","R_2zMAiLMp7ySjdto","35 - 44 years","Yes","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Male","heterosexual (straight)","Florida","2","2","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","No","Yes","FL",69.67,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
"845","R_TuQNY5iHho0sERH","25 - 34 years","Yes","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Male","heterosexual (straight)","Texas","2","4+","5 - 10 times per month","No","No","No","No","No","Had a child","No","Yes","I don't know","Yes","I don't know","TX",0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0
"846","R_33El0GX9AkXCVDU","35 - 44 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Male","heterosexual (straight)","Illinois","2","3","5 - 10 times per month","No","No","Yes","No","No","Had a child","No","No","No","Yes","Yes","IL",29.94,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0
"847","R_278SNhphNm6lbrs","25 - 34 years","No","Other","Bachelor's degree","$50,000 - $74,999","Female","heterosexual (straight)","Alabama","2","3","Less than 5 times per month","No","No","Yes","No","No","Had a child","Yes if I get part of the profit","No","Yes","I don't know","No","NC",28.67,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0
"848","R_so1lMsX2pFxGtK9","25 - 34 years","No","Asian","Bachelor's degree","$75,000 - $99,999","Male","heterosexual (straight)","California","1 (just me!)","4+","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","I don't know","Yes","CA",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
"849","R_rqK6K6zDsynoZHP","18 - 24 years","No","White or Caucasian","High school diploma or GED","Less than $25,000","Female","LGBTQ+","Florida","4+","3","5 - 10 times per month","No","No","No","No","No","Moved place of residence","No","No","I don't know","No","Yes","NY",23.26,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0
"850","R_Dk08oiknq542ECt","25 - 34 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$25,000 - $49,999","Female","heterosexual (straight)","Georgia","1 (just me!)","1 (just me!)","Less than 5 times per month","No","No","No","No","No","","No","No","No","No","I don't know","GA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0
"851","R_2foDWbM9hrc4GlL","18 - 24 years","No","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Female","heterosexual (straight)","Arkansas","1 (just me!)","4+","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","I don't know","Yes","AR",0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"852","R_1NySziOu3paaWyj","35 - 44 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999","Male","heterosexual (straight)","West Virginia","1 (just me!)","2","5 - 10 times per month","No","No","No","Yes","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","Yes","Yes","WV",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0
"853","R_4Ymoad5OAXbuIyR","25 - 34 years","Yes","Other","High school diploma or GED","$25,000 - $49,999","Prefer not to say","heterosexual (straight)","Pennsylvania","1 (just me!)","2","Less than 5 times per month","No","No","I stopped in the recent past","No","No","","No","No","I don't know","No","Yes","PA",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
"854","R_2tlrtwEaex5e5hZ","18 - 24 years","No","White or Caucasian","Bachelor's degree","$75,000 - $99,999","Male","heterosexual (straight)","Kentucky","1 (just me!)","3","Less than 5 times per month","No","No","Yes","No","No","","No","No","No","Yes","Yes","KY",11.99,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"855","R_1Ri2PvXp7pnqqyt","18 - 24 years","No","White or Caucasian","High school diploma or GED","$50,000 - $74,999","Male","heterosexual (straight)","Ohio","1 (just me!)","3","Less than 5 times per month","No","No","Yes","No","No","","No","No","No","No","Yes","OH",0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0
"856","R_vcsfXNFhlnqxtYd","45 - 54 years","No","Black or African American","Bachelor's degree","$50,000 - $74,999","Female","LGBTQ+","Texas","3","2","Less than 5 times per month","No","No","Yes","No","No","Lost a job ,Moved place of residence","Yes if I get part of the profit","Yes if consumers get part of the profit","No","I don't know","Yes","TX",0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"857","R_2uPcQuKixR5S2ZO","35 - 44 years","No","White or Caucasian","High school diploma or GED","$75,000 - $99,999","Female","LGBTQ+","Connecticut","2","2","5 - 10 times per month","No","Yes","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","No","Yes","CT",0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0
"858","R_22zUFw96HSXLvK9","18 - 24 years","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Male","LGBTQ+","Virginia","1 (just me!)","3","Less than 5 times per month","No","No","No","No","No","","No","No","No","No","Yes","VA",0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
"859","R_2ZKwvQaCWvHI4ey","45 - 54 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999","Female","heterosexual (straight)","Kentucky","2","2","5 - 10 times per month","Yes","I stopped in the recent past","No","No","No","Lost a job ,Moved place of residence","Yes if I get part of the profit","Yes if consumers get part of the profit","No","No","Yes","KY",192.48,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0
"860","R_C4iVkWMyXuWqTsd","35 - 44 years","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Female","heterosexual (straight)","Florida","1 (just me!)","3","Less than 5 times per month","No","Yes","Yes","No","No","Moved place of residence","I don't know","Yes if consumers get part of the profit","Yes","I don't know","Yes","FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"861","R_ywlBdvbWuxsW0lr","18 - 24 years","No","White or Caucasian","Bachelor's degree","$25,000 - $49,999","Other","LGBTQ+","North Carolina","1 (just me!)","1 (just me!)","Less than 5 times per month","No","No","No","No","No","Moved place of residence","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","Yes","Yes","NC",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"862","R_OGLmgayQfW8p8K5","25 - 34 years","No","Black or African American","High school diploma or GED","$25,000 - $49,999","Female","heterosexual (straight)","Texas","1 (just me!)","3","5 - 10 times per month","No","Yes","Yes","No","No","Moved place of residence","No","No","Yes","I don't know","Yes","TX",31.93,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"863","R_2dEe5MXA0pGB5Fr","35 - 44 years","No","White or Caucasian,Asian","Bachelor's degree","$75,000 - $99,999","Male","heterosexual (straight)","Tennessee","2","3","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","No","Yes","TN",219.84,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"864","R_3qe2tDpGxexEAso","25 - 34 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Male","heterosexual (straight)","Georgia","1 (just me!)","2","Less than 5 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","I don't know","Yes","GA",293.44,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"865","R_1FRsomi7uxATDER","45 - 54 years","No","White or Caucasian","Bachelor's degree","$75,000 - $99,999","Female","heterosexual (straight)","Washington","1 (just me!)","3","5 - 10 times per month","No","No","No","Yes","No","","No","No","No","I don't know","I don't know","WA",0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0
"866","R_22mMopWqAj09mQc","45 - 54 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more","Male","heterosexual (straight)","Oregon","1 (just me!)","3","More than 10 times per month","No","No","No","No","No","","Yes","Yes","No","Yes","Yes","OR",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
"867","R_R4fpnxUUupS13Mt","18 - 24 years","Yes","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Female","heterosexual (straight)","Illinois","2","2","5 - 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","I don't know","Yes","IL",0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
"868","R_1eLARPfQt7BNOE7","35 - 44 years","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Female","heterosexual (straight)","Ohio","1 (just me!)","4+","Less than 5 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","No","Yes","OH",0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
"869","R_3lXmoZ903QXEUrl","25 - 34 years","No","Asian","Bachelor's degree","Less than $25,000","Female","heterosexual (straight)","Texas","2","2","Less than 5 times per month","No","No","No","No","No","Moved place of residence","Yes if I get part of the profit","No","Yes","Yes","Yes","TX",21.99,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
"870","R_xx5M0tAgJVFpvl7","25 - 34 years","No","White or Caucasian,Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more","Female","LGBTQ+","California","2","2","Less than 5 times per month","No","No","No","No","No","","No","No","I don't know","I don't know","Yes","CA",18.99,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
"871","R_1g6IilzUPP9npt5","25 - 34 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999","Female","LGBTQ+","Georgia","1 (just me!)","2","5 - 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","No","Yes","I don't know","No","GA",143.18,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0
"872","R_zd4E1BgAdaM2761","25 - 34 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Female","heterosexual (straight)","Illinois","4+","2","5 - 10 times per month","No","Yes","Yes","No","No","","Yes if I get part of the profit","No","Yes","Yes","Yes","IL",177.84,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
